Record Date,Debt Category,Debt Category Description,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-04-16,Debt Held by the Public,null,28917184,28904114,28909509,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,3,2025,2,04,16
2025-04-16,Intragovernmental Holdings,null,7296406,7310211,7304802,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,3,2025,2,04,16
2025-04-16,Debt Not Subject to Limit,Other Debt (-),475,475,475,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,3,2025,2,04,16
2025-04-16,Debt Not Subject to Limit,Unamortized Discount (-),104631,105365,105350,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,3,2025,2,04,16
2025-04-16,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,3,2025,2,04,16
2025-04-16,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,3,2025,2,04,16
2025-04-16,Statutory Debt Limit,null,36103996,36103996,36103996,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,3,2025,2,04,16
2025-04-15,Debt Held by the Public,null,28904114,28942463,28909509,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,3,2025,2,04,15
2025-04-15,Intragovernmental Holdings,null,7310211,7270299,7304802,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,3,2025,2,04,15
2025-04-15,Debt Not Subject to Limit,Other Debt (-),475,475,475,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,3,2025,2,04,15
2025-04-15,Debt Not Subject to Limit,Unamortized Discount (-),105365,103802,105350,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,3,2025,2,04,15
2025-04-15,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,3,2025,2,04,15
2025-04-15,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,3,2025,2,04,15
2025-04-15,Statutory Debt Limit,null,36103996,36103996,36103996,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,3,2025,2,04,15
2025-04-14,Debt Held by the Public,null,28942463,28952084,28909509,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,3,2025,2,04,14
2025-04-14,Intragovernmental Holdings,null,7270299,7262882,7304802,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,3,2025,2,04,14
2025-04-14,Debt Not Subject to Limit,Other Debt (-),475,475,475,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,3,2025,2,04,14
2025-04-14,Debt Not Subject to Limit,Unamortized Discount (-),103802,106006,105350,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,3,2025,2,04,14
2025-04-14,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,3,2025,2,04,14
2025-04-14,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,3,2025,2,04,14
2025-04-14,Statutory Debt Limit,null,36103996,36103996,36103996,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,3,2025,2,04,14
2025-04-11,Debt Held by the Public,null,28952084,28952824,28909509,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,3,2025,2,04,11
2025-04-11,Intragovernmental Holdings,null,7262882,7262877,7304802,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,3,2025,2,04,11
2025-04-11,Debt Not Subject to Limit,Other Debt (-),475,475,475,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,3,2025,2,04,11
2025-04-11,Debt Not Subject to Limit,Unamortized Discount (-),106006,106741,105350,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,3,2025,2,04,11
2025-04-11,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,3,2025,2,04,11
2025-04-11,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,3,2025,2,04,11
2025-04-11,Statutory Debt Limit,null,36103996,36103996,36103996,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,3,2025,2,04,11
2025-04-10,Debt Held by the Public,null,28952824,28958992,28909509,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,3,2025,2,04,10
2025-04-10,Intragovernmental Holdings,null,7262877,7254779,7304802,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,3,2025,2,04,10
2025-04-10,Debt Not Subject to Limit,Other Debt (-),475,475,475,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,3,2025,2,04,10
2025-04-10,Debt Not Subject to Limit,Unamortized Discount (-),106741,104811,105350,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,3,2025,2,04,10
2025-04-10,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,3,2025,2,04,10
2025-04-10,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,3,2025,2,04,10
2025-04-10,Statutory Debt Limit,null,36103996,36103996,36103996,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,3,2025,2,04,10
2025-04-09,Debt Held by the Public,null,28958992,28936032,28909509,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,3,2025,2,04,09
2025-04-09,Intragovernmental Holdings,null,7254779,7278477,7304802,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,3,2025,2,04,09
2025-04-09,Debt Not Subject to Limit,Other Debt (-),475,475,475,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,3,2025,2,04,09
2025-04-09,Debt Not Subject to Limit,Unamortized Discount (-),104811,105549,105350,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,3,2025,2,04,09
2025-04-09,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,3,2025,2,04,09
2025-04-09,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,3,2025,2,04,09
2025-04-09,Statutory Debt Limit,null,36103996,36103996,36103996,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,3,2025,2,04,09
2025-04-08,Debt Held by the Public,null,28936032,28947771,28909509,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,3,2025,2,04,08
2025-04-08,Intragovernmental Holdings,null,7278477,7265790,7304802,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,3,2025,2,04,08
2025-04-08,Debt Not Subject to Limit,Other Debt (-),475,475,475,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,3,2025,2,04,08
2025-04-08,Debt Not Subject to Limit,Unamortized Discount (-),105549,104601,105350,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,3,2025,2,04,08
2025-04-08,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,3,2025,2,04,08
2025-04-08,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,3,2025,2,04,08
2025-04-08,Statutory Debt Limit,null,36103996,36103996,36103996,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,3,2025,2,04,08
2025-04-07,Debt Held by the Public,null,28947771,28956155,28909509,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,3,2025,2,04,07
2025-04-07,Intragovernmental Holdings,null,7265790,7259607,7304802,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,3,2025,2,04,07
2025-04-07,Debt Not Subject to Limit,Other Debt (-),475,475,475,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,3,2025,2,04,07
2025-04-07,Debt Not Subject to Limit,Unamortized Discount (-),104601,106802,105350,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,3,2025,2,04,07
2025-04-07,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,3,2025,2,04,07
2025-04-07,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,3,2025,2,04,07
2025-04-07,Statutory Debt Limit,null,36103996,36103996,36103996,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,3,2025,2,04,07
2025-04-04,Debt Held by the Public,null,28956155,28960434,28909509,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,3,2025,2,04,04
2025-04-04,Intragovernmental Holdings,null,7259607,7256061,7304802,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,3,2025,2,04,04
2025-04-04,Debt Not Subject to Limit,Other Debt (-),475,475,475,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,3,2025,2,04,04
2025-04-04,Debt Not Subject to Limit,Unamortized Discount (-),106802,107535,105350,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,3,2025,2,04,04
2025-04-04,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,3,2025,2,04,04
2025-04-04,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,3,2025,2,04,04
2025-04-04,Statutory Debt Limit,null,36103996,36103996,36103996,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,3,2025,2,04,04
2025-04-03,Debt Held by the Public,null,28960434,28941617,28909509,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,3,2025,2,04,03
2025-04-03,Intragovernmental Holdings,null,7256061,7272809,7304802,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,3,2025,2,04,03
2025-04-03,Debt Not Subject to Limit,Other Debt (-),475,475,475,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,3,2025,2,04,03
2025-04-03,Debt Not Subject to Limit,Unamortized Discount (-),107535,105466,105350,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,3,2025,2,04,03
2025-04-03,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,3,2025,2,04,03
2025-04-03,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,3,2025,2,04,03
2025-04-03,Statutory Debt Limit,null,36103996,36103996,36103996,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,3,2025,2,04,03
2025-04-02,Debt Held by the Public,null,28941617,28945059,28909509,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,3,2025,2,04,02
2025-04-02,Intragovernmental Holdings,null,7272809,7270098,7304802,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,3,2025,2,04,02
2025-04-02,Debt Not Subject to Limit,Other Debt (-),475,475,475,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,3,2025,2,04,02
2025-04-02,Debt Not Subject to Limit,Unamortized Discount (-),105466,106197,105350,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,3,2025,2,04,02
2025-04-02,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,3,2025,2,04,02
2025-04-02,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,3,2025,2,04,02
2025-04-02,Statutory Debt Limit,null,36103996,36103996,36103996,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,3,2025,2,04,02
2025-04-01,Debt Held by the Public,null,28945059,28909509,28909509,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,3,2025,2,04,01
2025-04-01,Intragovernmental Holdings,null,7270098,7304802,7304802,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,3,2025,2,04,01
2025-04-01,Debt Not Subject to Limit,Other Debt (-),475,475,475,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,3,2025,2,04,01
2025-04-01,Debt Not Subject to Limit,Unamortized Discount (-),106197,105350,105350,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,3,2025,2,04,01
2025-04-01,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,3,2025,2,04,01
2025-04-01,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,3,2025,2,04,01
