record_date,daily_total,cumulative_total,year,day_number
2013-01-22,12417,12417,2013,3
2013-01-23,23528,35945,2013,4
2013-01-24,13291,49236,2013,5
2013-01-25,9961,59197,2013,6
2013-01-28,9566,68763,2013,9
2013-01-29,9975,78738,2013,10
2013-01-30,9593,88331,2013,11
2013-01-31,16330,104661,2013,12
2013-02-01,82105,186766,2013,13
2013-02-04,13244,200010,2013,16
2013-02-05,14313,214323,2013,17
2013-02-06,14849,229172,2013,18
2013-02-07,14548,243720,2013,19
2013-02-08,16780,260500,2013,20
2013-02-11,12502,273002,2013,23
2013-02-12,13584,286586,2013,24
2013-02-13,32850,319436,2013,25
2013-02-14,12904,332340,2013,26
2013-02-15,56698,389038,2013,27
2013-02-19,15599,404637,2013,31
2013-02-20,26575,431212,2013,32
2013-02-21,20034,451246,2013,33
2013-02-22,10703,461949,2013,34
2013-02-25,17853,479802,2013,37
2013-02-26,15133,494935,2013,38
2013-02-27,34487,529422,2013,39
2013-02-28,18615,548037,2013,40
2013-03-01,79738,627775,2013,41
2013-03-04,14182,641957,2013,44
2013-03-05,12700,654657,2013,45
2013-03-06,15801,670458,2013,46
2013-03-07,10678,681136,2013,47
2013-03-08,11651,692787,2013,48
2013-03-11,13886,706673,2013,51
2013-03-12,11630,718303,2013,52
2013-03-13,25837,744140,2013,53
2013-03-14,12250,756390,2013,54
2013-03-15,17916,774306,2013,55
2013-03-18,13605,787911,2013,58
2013-03-19,12002,799913,2013,59
2013-03-20,26320,826233,2013,60
2013-03-21,10539,836772,2013,61
2013-03-22,11592,848364,2013,62
2013-03-25,10323,858687,2013,65
2013-03-26,12447,871134,2013,66
2013-03-27,25950,897084,2013,67
2013-03-28,12986,910070,2013,68
2013-03-29,14746,924816,2013,69
2013-04-01,58900,983716,2013,72
2013-04-02,11009,994725,2013,73
2013-04-03,36659,1031384,2013,74
2013-04-04,9671,1041055,2013,75
2013-04-05,9771,1050826,2013,76
2013-04-08,9438,1060264,2013,79
2013-04-09,10696,1070960,2013,80
2013-04-10,24127,1095087,2013,81
2013-04-11,9932,1105019,2013,82
2013-04-12,13402,1118421,2013,83
2013-04-15,16600,1135021,2013,86
2013-04-16,11237,1146258,2013,87
2013-04-17,24164,1170422,2013,88
2013-04-18,11176,1181598,2013,89
2013-04-19,11944,1193542,2013,90
2013-04-22,10376,1203918,2013,93
2013-04-23,12132,1216050,2013,94
2014-01-21,11777,11777,2014,2
2014-01-22,23653,35430,2014,3
2014-01-23,10417,45847,2014,4
2014-01-24,9447,55294,2014,5
2014-01-27,9810,65104,2014,8
2014-01-28,9096,74200,2014,9
2014-01-29,8410,82610,2014,10
2014-01-30,10233,92843,2014,11
2014-01-31,52792,145635,2014,12
2014-02-03,42679,188314,2014,15
2014-02-04,10110,198424,2014,16
2014-02-05,8737,207161,2014,17
