day_number,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,0.0,0.0,24370.0,43898.0,12081.0,0.0,0.0,0.0,30477.0,149089.0,23050.0,0.0,0.0
2,0.0,24469.0,70306.0,171679.0,12081.0,0.0,0.0,105043.0,231901.0,173066.0,23050.0,0.0,287576.0
3,23287.0,61580.0,166260.0,183553.0,12081.0,24874.0,101051.0,136876.0,253645.0,173066.0,23050.0,36606.0,304723.0
4,50175.0,143908.0,177238.0,183553.0,38315.0,40170.0,131430.0,241710.0,253645.0,173066.0,57323.0,282671.0,701824.0
5,152473.0,153765.0,177238.0,183553.0,58618.0,64932.0,231705.0,258897.0,253645.0,209658.0,310874.0,319691.0,727146.0
6,163534.0,153765.0,177238.0,203297.0,79329.0,197652.0,244223.0,258897.0,286086.0,371248.0,343244.0,605918.0,727146.0
7,163534.0,153765.0,197103.0,212582.0,196556.0,208213.0,244223.0,258897.0,430864.0,402038.0,507677.0,621961.0,727146.0
8,163534.0,170616.0,202979.0,228371.0,208017.0,208213.0,244223.0,282452.0,450145.0,581191.0,522674.0,621961.0,769231.0
9,179369.0,178002.0,217382.0,352785.0,208017.0,208213.0,266350.0,373807.0,680334.0,600071.0,522674.0,621961.0,1033356.0
10,185967.0,192975.0,304081.0,383277.0,208017.0,230990.0,353769.0,391632.0,715267.0,600071.0,522674.0,653963.0,1057391.0
11,196536.0,256937.0,333629.0,383277.0,230864.0,237581.0,366430.0,511028.0,715267.0,600071.0,550163.0,905649.0,1326785.0
12,414558.0,399539.0,333629.0,383277.0,366928.0,392604.0,629525.0,689404.0,715267.0,892020.0,912854.0,1150990.0,1613232.0
13,439871.0,399539.0,333629.0,530297.0,398366.0,551492.0,657672.0,689404.0,1026811.0,1062542.0,952593.0,1426479.0,1613232.0
14,439871.0,399539.0,478846.0,539844.0,534968.0,564908.0,657672.0,689404.0,1164427.0,1083484.0,1087326.0,1443198.0,1613232.0
15,439871.0,434736.0,485716.0,554092.0,547156.0,564908.0,657672.0,731569.0,1180380.0,1218734.0,1102732.0,1443198.0,1679294.0
16,457365.0,441724.0,500455.0,700352.0,547156.0,564908.0,678867.0,831453.0,1367855.0,1234624.0,1102732.0,1443198.0,1949105.0
17,465820.0,456578.0,624382.0,710196.0,547156.0,583375.0,770671.0,848774.0,1378915.0,1234624.0,1102732.0,1474731.0,1968381.0
18,478916.0,537465.0,634564.0,710196.0,564870.0,591772.0,786131.0,941088.0,1378915.0,1234624.0,1132085.0,1731925.0,2229834.0
19,614227.0,548627.0,634564.0,710196.0,571268.0,609849.0,875707.0,952200.0,1378915.0,1262166.0,1312940.0,1749768.0,2244245.0
20,623652.0,548627.0,634564.0,730211.0,584226.0,749838.0,886402.0,952200.0,1404226.0,1407767.0,1328306.0,1996866.0,2244245.0
21,623652.0,548627.0,651644.0,736257.0,747215.0,760015.0,886402.0,952200.0,1538705.0,1425279.0,1454601.0,2009488.0,2244245.0
