day_number,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,0.0,0.0,11507.0,23720.0,11292.0,0.0,0.0,0.0,42616.0,13414.0,22687.0,0.0,0.0
2,0.0,11777.0,36902.0,34578.0,11292.0,0.0,0.0,10948.0,60861.0,37977.0,22687.0,0.0,17941.0
3,12417.0,35430.0,50071.0,45044.0,11292.0,15722.0,13842.0,45781.0,84738.0,37977.0,22687.0,22248.0,72520.0
4,35945.0,45847.0,59281.0,45044.0,19369.0,24658.0,42858.0,58553.0,84738.0,37977.0,39159.0,36415.0,90137.0
5,49236.0,55294.0,59281.0,45044.0,31206.0,51227.0,55805.0,71666.0,84738.0,52043.0,53367.0,74451.0,104818.0
6,59197.0,55294.0,59281.0,53816.0,55716.0,64138.0,68315.0,71666.0,110525.0,71030.0,91589.0,93245.0,104818.0
7,59197.0,55294.0,68399.0,62687.0,66779.0,77300.0,68315.0,71666.0,136403.0,107379.0,108803.0,108398.0,104818.0
8,59197.0,65104.0,79600.0,88337.0,80199.0,77300.0,68315.0,83248.0,172682.0,125726.0,123148.0,108398.0,116478.0
9,68763.0,74200.0,101936.0,99086.0,80199.0,77300.0,79532.0,92344.0,193190.0,142133.0,123148.0,108398.0,130186.0
10,78738.0,82610.0,113489.0,113467.0,80199.0,88649.0,90040.0,102019.0,209240.0,142133.0,123148.0,124023.0,153840.0
11,88331.0,92843.0,175189.0,113467.0,90746.0,98506.0,103574.0,117431.0,209240.0,142133.0,137256.0,137961.0,174497.0
12,104661.0,145635.0,175189.0,113467.0,108734.0,117052.0,127432.0,192833.0,209240.0,163768.0,166551.0,172087.0,304706.0
13,186766.0,145635.0,175189.0,179424.0,170599.0,183675.0,220086.0,192833.0,303279.0,253166.0,267963.0,275423.0,304706.0
14,186766.0,145635.0,203388.0,189498.0,182008.0,215547.0,220086.0,192833.0,323117.0,270700.0,280754.0,317833.0,304706.0
15,186766.0,188314.0,239813.0,228095.0,214732.0,215547.0,220086.0,233889.0,362778.0,309006.0,323106.0,317833.0,358869.0
16,200010.0,198424.0,257587.0,237886.0,214732.0,215547.0,229239.0,244857.0,377939.0,325840.0,323106.0,317833.0,376202.0
17,214323.0,207161.0,267447.0,250098.0,214732.0,228151.0,243951.0,262537.0,394541.0,325840.0,323106.0,333524.0,391929.0
18,229172.0,227304.0,286232.0,250098.0,224422.0,241097.0,258015.0,275107.0,394541.0,325840.0,338601.0,349135.0,410036.0
19,243720.0,236128.0,286232.0,250098.0,234626.0,256152.0,271713.0,290686.0,394541.0,341901.0,355815.0,364725.0,425580.0
20,260500.0,236128.0,286232.0,262296.0,265449.0,269314.0,284460.0,290686.0,412641.0,361800.0,401982.0,380656.0,425580.0
21,260500.0,236128.0,300443.0,272667.0,275430.0,282776.0,284460.0,290686.0,434666.0,401765.0,416659.0,392757.0,425580.0
